"k0","year","","","hh","mm","fecha","variables","files"
"4","2010","1","11","12","0","2010-01-11 12:00:00","RH","MERRA2.2010011.120.resampled.RH.tif"
"4","2010","1","11","12","0","2010-01-11 12:00:00","T","MERRA2.2010011.120.resampled.T.tif"
"4","2010","1","11","12","0","2010-01-11 12:00:00","U","MERRA2.2010011.120.resampled.U.tif"
"4","2010","1","11","12","0","2010-01-11 12:00:00","V","MERRA2.2010011.120.resampled.V.tif"
"4","2010","1","11","15","0","2010-01-11 15:00:00","PS","MERRA2.2010011.150.resampled.PS.tif"
"4","2010","1","11","15","0","2010-01-11 15:00:00","RH","MERRA2.2010011.150.resampled.RH.tif"
"4","2010","1","11","15","0","2010-01-11 15:00:00","T","MERRA2.2010011.150.resampled.T.tif"
"4","2010","1","11","15","0","2010-01-11 15:00:00","U","MERRA2.2010011.150.resampled.U.tif"
"4","2010","1","11","15","0","2010-01-11 15:00:00","V","MERRA2.2010011.150.resampled.V.tif"
"4","2010","1","11","18","0","2010-01-11 18:00:00","PS","MERRA2.2010011.180.resampled.PS.tif"
"4","2010","1","11","18","0","2010-01-11 18:00:00","RH","MERRA2.2010011.180.resampled.RH.tif"
"4","2010","1","11","18","0","2010-01-11 18:00:00","T","MERRA2.2010011.180.resampled.T.tif"
"4","2010","1","11","18","0","2010-01-11 18:00:00","U","MERRA2.2010011.180.resampled.U.tif"
"4","2010","1","11","18","0","2010-01-11 18:00:00","V","MERRA2.2010011.180.resampled.V.tif"
"4","2010","1","12","18","0","2010-01-12 18:00:00","PS","MERRA2.2010012.180.resampled.PS.tif"
"4","2010","1","12","18","0","2010-01-12 18:00:00","RH","MERRA2.2010012.180.resampled.RH.tif"
"4","2010","1","12","18","0","2010-01-12 18:00:00","T","MERRA2.2010012.180.resampled.T.tif"
"4","2010","1","12","18","0","2010-01-12 18:00:00","U","MERRA2.2010012.180.resampled.U.tif"
"4","2010","1","12","18","0","2010-01-12 18:00:00","V","MERRA2.2010012.180.resampled.V.tif"
"4","2010","1","13","18","0","2010-01-13 18:00:00","PS","MERRA2.2010013.180.resampled.PS.tif"
"4","2010","1","13","18","0","2010-01-13 18:00:00","RH","MERRA2.2010013.180.resampled.RH.tif"
"4","2010","1","13","18","0","2010-01-13 18:00:00","T","MERRA2.2010013.180.resampled.T.tif"
"4","2010","1","13","18","0","2010-01-13 18:00:00","U","MERRA2.2010013.180.resampled.U.tif"
"4","2010","1","13","18","0","2010-01-13 18:00:00","V","MERRA2.2010013.180.resampled.V.tif"
"4","2010","1","14","18","0","2010-01-14 18:00:00","PS","MERRA2.2010014.180.resampled.PS.tif"
"4","2010","1","14","18","0","2010-01-14 18:00:00","RH","MERRA2.2010014.180.resampled.RH.tif"
"4","2010","1","14","18","0","2010-01-14 18:00:00","T","MERRA2.2010014.180.resampled.T.tif"
"4","2010","1","14","18","0","2010-01-14 18:00:00","U","MERRA2.2010014.180.resampled.U.tif"
"4","2010","1","14","18","0","2010-01-14 18:00:00","V","MERRA2.2010014.180.resampled.V.tif"
"4","2010","1","15","18","0","2010-01-15 18:00:00","PS","MERRA2.2010015.180.resampled.PS.tif"
"4","2010","1","15","18","0","2010-01-15 18:00:00","RH","MERRA2.2010015.180.resampled.RH.tif"
"4","2010","1","15","18","0","2010-01-15 18:00:00","T","MERRA2.2010015.180.resampled.T.tif"
"4","2010","1","15","18","0","2010-01-15 18:00:00","U","MERRA2.2010015.180.resampled.U.tif"
"4","2010","1","15","18","0","2010-01-15 18:00:00","V","MERRA2.2010015.180.resampled.V.tif"
"4","2010","1","16","15","0","2010-01-16 15:00:00","PS","MERRA2.2010016.150.resampled.PS.tif"
"4","2010","1","16","15","0","2010-01-16 15:00:00","RH","MERRA2.2010016.150.resampled.RH.tif"
"4","2010","1","16","15","0","2010-01-16 15:00:00","T","MERRA2.2010016.150.resampled.T.tif"
"4","2010","1","16","15","0","2010-01-16 15:00:00","U","MERRA2.2010016.150.resampled.U.tif"
"4","2010","1","16","15","0","2010-01-16 15:00:00","V","MERRA2.2010016.150.resampled.V.tif"
"4","2010","1","16","18","0","2010-01-16 18:00:00","PS","MERRA2.2010016.180.resampled.PS.tif"
"4","2010","1","16","18","0","2010-01-16 18:00:00","RH","MERRA2.2010016.180.resampled.RH.tif"
"4","2010","1","16","18","0","2010-01-16 18:00:00","T","MERRA2.2010016.180.resampled.T.tif"
"4","2010","1","16","18","0","2010-01-16 18:00:00","U","MERRA2.2010016.180.resampled.U.tif"
"4","2010","1","16","18","0","2010-01-16 18:00:00","V","MERRA2.2010016.180.resampled.V.tif"
"4","2010","1","17","18","0","2010-01-17 18:00:00","PS","MERRA2.2010017.180.resampled.PS.tif"
"4","2010","1","17","18","0","2010-01-17 18:00:00","RH","MERRA2.2010017.180.resampled.RH.tif"
"4","2010","1","17","18","0","2010-01-17 18:00:00","T","MERRA2.2010017.180.resampled.T.tif"
"4","2010","1","17","18","0","2010-01-17 18:00:00","U","MERRA2.2010017.180.resampled.U.tif"
"4","2010","1","17","18","0","2010-01-17 18:00:00","V","MERRA2.2010017.180.resampled.V.tif"
"4","2010","1","18","15","0","2010-01-18 15:00:00","PS","MERRA2.2010018.150.resampled.PS.tif"
"4","2010","1","18","15","0","2010-01-18 15:00:00","RH","MERRA2.2010018.150.resampled.RH.tif"
"4","2010","1","18","15","0","2010-01-18 15:00:00","T","MERRA2.2010018.150.resampled.T.tif"
"4","2010","1","18","15","0","2010-01-18 15:00:00","U","MERRA2.2010018.150.resampled.U.tif"
"4","2010","1","18","15","0","2010-01-18 15:00:00","V","MERRA2.2010018.150.resampled.V.tif"
