Fecha_Hora (yyyy-mm-dd hh:mm:ss);Satelite;AODnm;valor_AOD;estacion_pm
22/01/2010 17:30;A;470;0.372123897;CEN
22/01/2010 17:30;A;470;0.408015966;COR
22/01/2010 17:30;A;470;0.376356483;PAL
22/01/2010 17:30;A;470;0.17204164;LMA
22/01/2010 17:30;A;470;0.127215609;DKS
22/01/2010 17:30;A;470;NA;BB1
22/01/2010 17:30;A;470;NA;BB2
24/01/2010 17:20;A;470;0.249695882;LBO
24/01/2010 17:20;A;470;0.260922641;CEN
24/01/2010 17:20;A;470;0.295445591;COR
24/01/2010 17:20;A;470;0.280145854;PAL
24/01/2010 17:20;A;470;0.13253887;LMA
24/01/2010 17:20;A;470;0.129102319;DKS
24/01/2010 17:20;A;470;NA;BB1
24/01/2010 17:20;A;470;NA;BB2
25/01/2010 18:00;A;470;0.150413319;LBO
25/01/2010 18:00;A;470;0.16174528;CEN
25/01/2010 18:00;A;470;0.133656368;COR
25/01/2010 18:00;A;470;0.121042103;PAL
25/01/2010 18:00;A;470;0.117083453;LMA
25/01/2010 18:00;A;470;0.118367627;DKS
25/01/2010 18:00;A;470;NA;BB1
25/01/2010 18:00;A;470;NA;BB2
26/01/2010 17:05;A;470;0.18523854;LBO
26/01/2010 17:05;A;470;0.178946167;CEN
26/01/2010 17:05;A;470;0.198858202;COR
26/01/2010 17:05;A;470;0.210984707;PAL
26/01/2010 17:05;A;470;0.277866304;LMA
26/01/2010 17:05;A;470;0.274186403;DKS
26/01/2010 17:05;A;470;NA;BB1
26/01/2010 17:05;A;470;NA;BB2
26/01/2010 18:45;A;470;0.080467194;LBO
26/01/2010 18:45;A;470;0.136476383;CEN
26/01/2010 18:45;A;470;0.124710411;COR
26/01/2010 18:45;A;470;0.141333431;PAL
26/01/2010 18:45;A;470;0.194593921;LMA
26/01/2010 18:45;A;470;0.175385967;DKS
26/01/2010 18:45;A;470;NA;BB1
26/01/2010 18:45;A;470;NA;BB2
27/01/2010 17:50;A;470;0.372366488;LBO
27/01/2010 17:50;A;470;0.366486818;CEN
27/01/2010 17:50;A;470;0.366941661;COR
27/01/2010 17:50;A;470;0.279069662;PAL
27/01/2010 17:50;A;470;0.113285825;LMA
27/01/2010 17:50;A;470;0.106910415;DKS
27/01/2010 17:50;A;470;NA;BB1
27/01/2010 17:50;A;470;NA;BB2
28/01/2010 18:30;A;470;0.088612549;LBO
28/01/2010 18:30;A;470;0.132286206;CEN
28/01/2010 18:30;A;470;0.12699537;COR
28/01/2010 18:30;A;470;0.139376804;PAL
28/01/2010 18:30;A;470;0.165770277;LMA
28/01/2010 18:30;A;470;0.137124524;DKS
28/01/2010 18:30;A;470;NA;BB1
28/01/2010 18:30;A;470;NA;BB2
29/01/2010 17:35;A;470;0.276493877;LBO
29/01/2010 17:35;A;470;0.361210406;CEN
29/01/2010 17:35;A;470;0.308927923;COR
29/01/2010 17:35;A;470;0.317966759;PAL
29/01/2010 17:35;A;470;0.159729719;LMA
29/01/2010 17:35;A;470;0.147371635;DKS
29/01/2010 17:35;A;470;NA;BB1
29/01/2010 17:35;A;470;NA;BB2
08/02/2010 18:15;A;470;0.051300712;LBO
08/02/2010 18:15;A;470;0.108190574;CEN
08/02/2010 18:15;A;470;0.187496841;COR
08/02/2010 18:15;A;470;0.170557544;PAL
08/02/2010 18:15;A;470;0.035571661;LMA
08/02/2010 18:15;A;470;0.033937667;DKS
08/02/2010 18:15;A;470;NA;BB1
08/02/2010 18:15;A;470;NA;BB2
09/02/2010 17:20;A;470;0.207206592;LBO
09/02/2010 17:20;A;470;0.232037514;CEN
09/02/2010 17:20;A;470;0.232909024;COR
09/02/2010 17:20;A;470;0.194712341;PAL
09/02/2010 17:20;A;470;0.092265308;LMA
09/02/2010 17:20;A;470;0.088816091;DKS
09/02/2010 17:20;A;470;NA;BB1
09/02/2010 17:20;A;470;NA;BB2
11/02/2010 17:05;A;470;0.20499526;LBO
11/02/2010 17:05;A;470;0.221419424;CEN
11/02/2010 17:05;A;470;0.207602695;COR
11/02/2010 17:05;A;470;0.205891579;PAL
11/02/2010 17:05;A;470;0.195863307;LMA
11/02/2010 17:05;A;470;0.209038213;DKS
11/02/2010 17:05;A;470;NA;BB1
11/02/2010 17:05;A;470;NA;BB2
12/02/2010 17:50;A;470;0.335160524;LBO
12/02/2010 17:50;A;470;0.301882386;CEN
12/02/2010 17:50;A;470;0.319919795;COR
12/02/2010 17:50;A;470;0.288729757;PAL
12/02/2010 17:50;A;470;0.06530273;LMA
12/02/2010 17:50;A;470;0.064332314;DKS
12/02/2010 17:50;A;470;NA;BB1
12/02/2010 17:50;A;470;NA;BB2
14/02/2010 17:35;A;470;0.134548813;LBO
14/02/2010 17:35;A;470;0.16498071;CEN
14/02/2010 17:35;A;470;0.145457104;COR
14/02/2010 17:35;A;470;0.153002992;PAL
14/02/2010 17:35;A;470;0.102264211;LMA
14/02/2010 17:35;A;470;0.108465157;DKS
14/02/2010 17:35;A;470;NA;BB1
14/02/2010 17:35;A;470;NA;BB2
18/02/2010 17:10;A;470;0.201654941;LBO
18/02/2010 17:10;A;470;0.202477023;CEN
18/02/2010 17:10;A;470;0.223000005;COR
18/02/2010 17:10;A;470;0.199625224;PAL
18/02/2010 17:10;A;470;0.115528628;LMA
18/02/2010 17:10;A;470;0.117100425;DKS
18/02/2010 17:10;A;470;NA;BB1
18/02/2010 17:10;A;470;NA;BB2
23/02/2010 17:30;A;470;0.242557928;LBO
23/02/2010 17:30;A;470;0.290046096;CEN
23/02/2010 17:30;A;470;0.270284235;COR
23/02/2010 17:30;A;470;0.270196795;PAL
23/02/2010 17:30;A;470;0.095225856;LMA
23/02/2010 17:30;A;470;0.081143573;DKS
23/02/2010 17:30;A;470;NA;BB1
23/02/2010 17:30;A;470;NA;BB2
24/02/2010 18:15;A;470;0.077275671;LBO
24/02/2010 18:15;A;470;0.097571298;CEN
24/02/2010 18:15;A;470;0.0862955;COR
24/02/2010 18:15;A;470;0.083705567;PAL
24/02/2010 18:15;A;470;0.049872749;LMA
24/02/2010 18:15;A;470;0.078549124;DKS
24/02/2010 18:15;A;470;NA;BB1
24/02/2010 18:15;A;470;NA;BB2
25/02/2010 17:20;A;470;0.210597485;LBO
25/02/2010 17:20;A;470;0.204679981;CEN
25/02/2010 17:20;A;470;0.20524545;COR
25/02/2010 17:20;A;470;0.247073159;PAL
25/02/2010 17:20;A;470;0.075757891;LMA
25/02/2010 17:20;A;470;0.073223673;DKS
25/02/2010 17:20;A;470;NA;BB1
25/02/2010 17:20;A;470;NA;BB2
26/02/2010 18:00;A;470;0.138575226;LBO
26/02/2010 18:00;A;470;0.139236987;CEN
26/02/2010 18:00;A;470;0.127114236;COR
26/02/2010 18:00;A;470;0.12770164;PAL
26/02/2010 18:00;A;470;0.258542895;LMA
26/02/2010 18:00;A;470;0.225881457;DKS
26/02/2010 18:00;A;470;NA;BB1
26/02/2010 18:00;A;470;NA;BB2
27/02/2010 17:05;A;470;0.238102973;LBO
27/02/2010 17:05;A;470;0.24531588;CEN
27/02/2010 17:05;A;470;0.243592739;COR
27/02/2010 17:05;A;470;0.248627916;PAL
27/02/2010 17:05;A;470;0.194921091;LMA
27/02/2010 17:05;A;470;0.199991554;DKS
27/02/2010 17:05;A;470;NA;BB1
27/02/2010 17:05;A;470;NA;BB2
27/02/2010 18:45;A;470;0.152345791;LBO
27/02/2010 18:45;A;470;0.188151658;CEN
27/02/2010 18:45;A;470;0.209232897;COR
27/02/2010 18:45;A;470;0.265974075;PAL
27/02/2010 18:45;A;470;0.097724505;LMA
27/02/2010 18:45;A;470;0.081957176;DKS
27/02/2010 18:45;A;470;NA;BB1
27/02/2010 18:45;A;470;NA;BB2
01/03/2010 18:30;A;470;0.137544528;LBO
01/03/2010 18:30;A;470;0.160673171;CEN
01/03/2010 18:30;A;470;0.243000001;COR
01/03/2010 18:30;A;470;0.205097035;PAL
01/03/2010 18:30;A;470;0.055327505;LMA
01/03/2010 18:30;A;470;0.096499749;DKS
01/03/2010 18:30;A;470;NA;BB1
01/03/2010 18:30;A;470;NA;BB2
05/03/2010 18:05;A;470;0.067190021;LBO
05/03/2010 18:05;A;470;0.065414846;CEN
05/03/2010 18:05;A;470;0.131689861;COR
05/03/2010 18:05;A;470;0.111766696;PAL
05/03/2010 18:05;A;470;0.032484692;LMA
05/03/2010 18:05;A;470;0.023599513;DKS
05/03/2010 18:05;A;470;NA;BB1
05/03/2010 18:05;A;470;NA;BB2
06/03/2010 17:10;A;470;0.2929658;LBO
06/03/2010 17:10;A;470;0.288208932;CEN
06/03/2010 17:10;A;470;0.283893049;COR
06/03/2010 17:10;A;470;0.268914253;PAL
06/03/2010 17:10;A;470;0.125094235;LMA
06/03/2010 17:10;A;470;0.107174277;DKS
06/03/2010 17:10;A;470;NA;BB1
06/03/2010 17:10;A;470;NA;BB2
07/03/2010 17:55;A;470;0.268468171;LBO
07/03/2010 17:55;A;470;0.257255375;CEN
07/03/2010 17:55;A;470;0.263590246;COR
07/03/2010 17:55;A;470;0.233710513;PAL
07/03/2010 17:55;A;470;0.102651864;LMA
07/03/2010 17:55;A;470;0.082754917;DKS
07/03/2010 17:55;A;470;NA;BB1
07/03/2010 17:55;A;470;NA;BB2
08/03/2010 18:35;A;470;0.129032686;LBO
08/03/2010 18:35;A;470;0.164689809;CEN
08/03/2010 18:35;A;470;0.162495241;COR
08/03/2010 18:35;A;470;0.167514443;PAL
08/03/2010 18:35;A;470;0.125014976;LMA
